"Reporting Area","Current MMWR Year","Disease_Category","total_cases","Population","incidence_rate"
"Alabama",2022,"Hepatitis B",0,5076181,0
"Alabama",2022,"Influenza",119,5076181,2.34
"Alabama",2022,"Measles",0,5076181,0
"Alabama",2022,"Meningococcal",4,5076181,0.08
"Alabama",2022,"Mumps",7,5076181,0.14
"Alabama",2022,"Pertussis",48,5076181,0.95
"Alabama",2022,"Pneumococcal",345,5076181,6.8
"Alabama",2022,"Polio",0,5076181,0
"Alabama",2022,"Rubella",1,5076181,0.02
"Alabama",2022,"Varicella",70,5076181,1.38
"Alabama",2023,"Hepatitis B",0,5117673,0
"Alabama",2023,"Influenza",131,5117673,2.56
"Alabama",2023,"Measles",0,5117673,0
"Alabama",2023,"Meningococcal",4,5117673,0.08
"Alabama",2023,"Mumps",2,5117673,0.04
"Alabama",2023,"Pertussis",31,5117673,0.61
"Alabama",2023,"Pneumococcal",321,5117673,6.27
"Alabama",2023,"Polio",0,5117673,0
"Alabama",2023,"Rubella",0,5117673,0
"Alabama",2023,"Varicella",45,5117673,0.88
"Alabama",2024,"Hepatitis A",15,5157699,0.29
"Alabama",2024,"Hepatitis B",123,5157699,2.38
"Alabama",2024,"Influenza",149,5157699,2.89
"Alabama",2024,"Measles",0,5157699,0
"Alabama",2024,"Meningococcal",15,5157699,0.29
"Alabama",2024,"Mumps",1,5157699,0.02
"Alabama",2024,"Pertussis",389,5157699,7.54
"Alabama",2024,"Pneumococcal",508,5157699,9.85
"Alabama",2024,"Polio",0,5157699,0
"Alabama",2024,"Rubella",0,5157699,0
"Alabama",2024,"Varicella",45,5157699,0.87
"Alaska",2022,"Hepatitis B",0,734442,0
"Alaska",2022,"Influenza",36,734442,4.9
"Alaska",2022,"Measles",0,734442,0
"Alaska",2022,"Meningococcal",0,734442,0
"Alaska",2022,"Mumps",1,734442,0.14
"Alaska",2022,"Pertussis",2,734442,0.27
"Alaska",2022,"Pneumococcal",248,734442,33.77
"Alaska",2022,"Polio",0,734442,0
"Alaska",2022,"Rubella",0,734442,0
"Alaska",2022,"Varicella",32,734442,4.36
"Alaska",2023,"Hepatitis B",0,736510,0
"Alaska",2023,"Influenza",26,736510,3.53
"Alaska",2023,"Measles",0,736510,0
"Alaska",2023,"Meningococcal",2,736510,0.27
"Alaska",2023,"Mumps",1,736510,0.14
"Alaska",2023,"Pertussis",22,736510,2.99
"Alaska",2023,"Pneumococcal",230,736510,31.23
"Alaska",2023,"Polio",0,736510,0
"Alaska",2023,"Rubella",0,736510,0
"Alaska",2023,"Varicella",20,736510,2.72
"Alaska",2024,"Hepatitis A",1,740133,0.14
"Alaska",2024,"Hepatitis B",120,740133,16.21
"Alaska",2024,"Influenza",28,740133,3.78
"Alaska",2024,"Measles",0,740133,0
"Alaska",2024,"Meningococcal",0,740133,0
"Alaska",2024,"Mumps",0,740133,0
"Alaska",2024,"Pertussis",595,740133,80.39
