"Reporting Area","Current MMWR Year","Disease_Category","total_cases","Population","incidence_rate"
"Alabama",2022,"Pertussis",48,5076181,0.95
"Alabama",2023,"Pertussis",31,5117673,0.61
"Alabama",2024,"Pertussis",389,5157699,7.54
"Alaska",2022,"Pertussis",2,734442,0.27
"Alaska",2023,"Pertussis",22,736510,2.99
"Alaska",2024,"Pertussis",595,740133,80.39
"Arizona",2022,"Pertussis",104,7377566,1.41
"Arizona",2023,"Pertussis",337,7473027,4.51
"Arizona",2024,"Pertussis",762,7582384,10.05
"Arkansas",2022,"Pertussis",16,3047704,0.52
"Arkansas",2023,"Pertussis",17,3069463,0.55
"Arkansas",2024,"Pertussis",299,3088354,9.68
"California",2022,"Pertussis",84,39142414,0.21
"California",2023,"Pertussis",196,39198693,0.5
"California",2024,"Pertussis",1775,39431263,4.5
"Colorado",2022,"Pertussis",252,5850935,4.31
"Colorado",2023,"Pertussis",244,5901339,4.13
"Colorado",2024,"Pertussis",655,5957493,10.99
"Connecticut",2022,"Pertussis",7,3617925,0.19
"Connecticut",2023,"Pertussis",0,3643023,0
"Connecticut",2024,"Pertussis",286,3675069,7.78
"Delaware",2022,"Pertussis",1,1020625,0.1
"Delaware",2023,"Pertussis",2,1036423,0.19
"Delaware",2024,"Pertussis",53,1051917,5.04
"District Of Columbia",2022,"Pertussis",3,NA,NA
"District Of Columbia",2023,"Pertussis",5,NA,NA
"District Of Columbia",2024,"Pertussis",22,NA,NA
"Florida",2022,"Pertussis",59,22379312,0.26
"Florida",2023,"Pertussis",90,22904868,0.39
"Florida",2024,"Pertussis",732,23372215,3.13
"Georgia",2022,"Pertussis",41,10931805,0.38
"Georgia",2023,"Pertussis",82,11064432,0.74
"Georgia",2024,"Pertussis",280,11180878,2.5
"Hawaii",2022,"Pertussis",6,1440359,0.42
"Hawaii",2023,"Pertussis",2,1441387,0.14
"Hawaii",2024,"Pertussis",70,1446146,4.84
"Idaho",2022,"Pertussis",9,1944299,0.46
"Idaho",2023,"Pertussis",13,1971122,0.66
"Idaho",2024,"Pertussis",1049,2001619,52.41
"Illinois",2022,"Pertussis",80,12621821,0.63
"Illinois",2023,"Pertussis",607,12642259,4.8
"Illinois",2024,"Pertussis",2304,12710158,18.13
"Indiana",2022,"Pertussis",69,6844545,1.01
"Indiana",2023,"Pertussis",138,6880131,2.01
